--------
General Information:
Found 53092 rows in total across all CSV files.
Available models: Model, anthropic/claude-sonnet-4, deepseek/deepseek-chat-v3.1, google/gemini-2.5-pro, google/gemma-3-27b-it, meta-llama/llama-4-maverick, microsoft/phi-4, openai/gpt-5, openai/gpt-oss-120b, x-ai/grok-4-fast, human
Unique phrases evaluated: 7034
Unique dates evaluated: 251
Maximum number rows for a single model: 6892
--------
Average grade (global models only): -0.1826486598481851797437514051125617697834968566894531250000000000
Average grade (global models + human): -0.1823731615230009261985344437562162056565284729003906250000000000
 > Average grade for anthropic/claude-sonnet-4: -0.2572307692307692073008240640774602070450782775878906250000000000
 > Average grade for deepseek/deepseek-chat-v3.1: -0.4851293935882580177221257144992705434560775756835937500000000000
 > Average grade for google/gemini-2.5-pro: -0.2822689562029712662116764931852230802178382873535156250000000000
 > Average grade for google/gemma-3-27b-it: -0.1441514318071509537233509945508558303117752075195312500000000000
 > Average grade for meta-llama/llama-4-maverick: -0.0248291951341443085932159107187544577755033969879150390625000000
 > Average grade for microsoft/phi-4: -0.1157864190365641282598474504084151703864336013793945312500000000
 > Average grade for openai/gpt-5: -0.2145748987854250999784966325023560784757137298583984375000000000
 > Average grade for openai/gpt-oss-120b: -0.1160012574662055984120456741948146373033523559570312500000000000
 > Average grade for x-ai/grok-4-fast: -0.0415125359638306642984240113491978263482451438903808593750000000
 > Average grade for human: -0.0821917808219178036566177070199046283960342407226562500000000000
--------
Grade frequency (global models only): [-1]: 31394 [1]: 21697 
Grade frequency (global models + human): [-1]: 31473 [1]: 21764 
 > Grade frequency for anthropic/claude-sonnet-4: [-1]: 4086 [1]: 2414 
 > Grade frequency for deepseek/deepseek-chat-v3.1: [-1]: 3845 [1]: 1333 
 > Grade frequency for google/gemini-2.5-pro: [-1]: 3323 [1]: 1860 
 > Grade frequency for google/gemma-3-27b-it: [-1]: 3536 [1]: 2645 
 > Grade frequency for meta-llama/llama-4-maverick: [-1]: 3075 [1]: 2926 
 > Grade frequency for microsoft/phi-4: [-1]: 3845 [1]: 3047 
 > Grade frequency for openai/gpt-5: [-1]: 3600 [1]: 2328 
 > Grade frequency for openai/gpt-oss-120b: [-1]: 3550 [1]: 2812 
 > Grade frequency for x-ai/grok-4-fast: [-1]: 2534 [1]: 2332 
 > Grade frequency for human: [-1]: 79 [1]: 67 
--------
Standard Deviation (global models only): 0.9831875073543554499622132425429299473762512207031250000000000000
Standard Deviation (global models + human): 0.9832386228544853778998913185205310583114624023437500000000000000

 > Standard Deviation for anthropic/claude-sonnet-4: 0.9664243477786582658950464974623173475265502929687500000000000000
 > Standard Deviation for deepseek/deepseek-chat-v3.1: 0.8745268279167021097109113725309725850820541381835937500000000000
 > Standard Deviation for google/gemini-2.5-pro: 0.9594278693909605859602152122533880174160003662109375000000000000
 > Standard Deviation for google/gemma-3-27b-it: 0.9896356979238118967145965143572539091110229492187500000000000000
 > Standard Deviation for meta-llama/llama-4-maverick: 0.9997750121839924508648778100905474275350570678710937500000000000
 > Standard Deviation for microsoft/phi-4: 0.9933462017231674545669761755561921745538711547851562500000000000
 > Standard Deviation for openai/gpt-5: 0.9767899282783304437671745290572289377450942993164062500000000000
 > Standard Deviation for openai/gpt-oss-120b: 0.9933271368566852776993414408934768289327621459960937500000000000
 > Standard Deviation for x-ai/grok-4-fast: 0.9992406641953496260200040524068754166364669799804687500000000000
 > Standard Deviation for human: 1.0000472355400464863350862287916243076324462890625000000000000000
--------
95% Confidence Interval (global models only): (-0.1910118888706772155572366500564385205507278442382812500000000000, -0.1742854308256931439302661601686850190162658691406250000000000000)
95% Confidence Interval (global models + human): (-0.1907253489926676592869370097105274908244609832763671875000000000, -0.1740209740533341931101318778019049204885959625244140625000000000)
 > 95% Confidence Interval for anthropic/claude-sonnet-4: (-0.2807248942583214779133982119674328714609146118164062500000000000, -0.2337366442032169366882499161874875426292419433593750000000000000)
 > 95% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5089493084497906938423739120480604469776153564453125000000000000, -0.4613094787267252860907262856926536187529563903808593750000000000)
 > 95% Confidence Interval for google/gemini-2.5-pro: (-0.3083887543419389087873128119099419564008712768554687500000000000, -0.2561491580640036236360401744605042040348052978515625000000000000)
 > 95% Confidence Interval for google/gemma-3-27b-it: (-0.1688228475598888556064025578962173312902450561523437500000000000, -0.1194800160544130379625116233910375740379095077514648437500000000)
 > 95% Confidence Interval for meta-llama/llama-4-maverick: (-0.0501244206515294651871350595229159807786345481872558593750000000, 0.0004660303832408480007032380854070652276277542114257812500000000)
 > 95% Confidence Interval for microsoft/phi-4: (-0.1392382141939794981677636087624705396592617034912109375000000000, -0.0923346238791487583519312920543598011136054992675781250000000000)
 > 95% Confidence Interval for openai/gpt-5: (-0.2394402825546035895598606657586060464382171630859375000000000000, -0.1897095150162466103971325992461061105132102966308593750000000000)
 > 95% Confidence Interval for openai/gpt-oss-120b: (-0.1404098961591412342286844250338617712259292602539062500000000000, -0.0915926187732699487176191155413107480853796005249023437500000000)
 > 95% Confidence Interval for x-ai/grok-4-fast: (-0.0695883358398000639866154415358323603868484497070312500000000000, -0.0134367360878612715491264850697916699573397636413574218750000000)
 > 95% Confidence Interval for human: (-0.2444072162990899854673187974185566417872905731201171875000000000, 0.0800236546552543781540833833787473849952220916748046875000000000)
--------
99% Confidence Interval (global models only): (-0.1936398058888002537969441618770360946655273437500000000000000000, -0.1716575138075701056905586483480874449014663696289062500000000000)
99% Confidence Interval (global models + human): (-0.1933497965034391696814708438978414051234722137451171875000000000, -0.1713965265425626827155980436145910061895847320556640625000000000)
 > 99% Confidence Interval for anthropic/claude-sonnet-4: (-0.2881072833833556723348578998411539942026138305664062500000000000, -0.2263542550781827422667902283137664198875427246093750000000000000)
 > 99% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5164340681600075866342081098991911858320236206054687500000000000, -0.4538247190165084488100433190993499010801315307617187500000000000)
 > 99% Confidence Interval for google/gemini-2.5-pro: (-0.3165961897541140768197465149569325149059295654296875000000000000, -0.2479417226518284833591820870424271561205387115478515625000000000)
 > 99% Confidence Interval for google/gemma-3-27b-it: (-0.1765751682417025514304498301498824730515480041503906250000000000, -0.1117276953725993560162521589518291875720024108886718750000000000)
 > 99% Confidence Interval for meta-llama/llama-4-maverick: (-0.0580727565676717877307666526576213072985410690307617187500000000, 0.0084143662993831670748878792664982029236853122711181640625000000)
 > 99% Confidence Interval for microsoft/phi-4: (-0.1466073023098211358661302483596955426037311553955078125000000000, -0.0849655357633071206535646524571347981691360473632812500000000000)
 > 99% Confidence Interval for openai/gpt-5: (-0.2472535524044963683998332726332591846585273742675781250000000000, -0.1818962451663538315571599923714529722929000854492187500000000000)
 > 99% Confidence Interval for openai/gpt-oss-120b: (-0.1480796463044349309257086133584380149841308593750000000000000000, -0.0839228686279762658983827350311912596225738525390625000000000000)
 > 99% Confidence Interval for x-ai/grok-4-fast: (-0.0784103915425736486266572455861023627221584320068359375000000000, -0.0046146803850876869090846810195216676220297813415527343750000000)
 > 99% Confidence Interval for human: (-0.2953790003248826234738544371793977916240692138671875000000000000, 0.1309954386810469884050434075106750242412090301513671875000000000)
--------
Top 100 phrases with highest discordance (variance):
1. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, -1, 1, 1, 1, 1] | Phrase: A soma da inflação acumulada até fevereiro mais o aumento esperado de preços administrados ao longo do ano atinge 2, 4%, o que representa 60% da meta estabelecida. | 21/03/2001
76. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: Como conseqüência do choque de juros do final de outubro, a economia teve sua taxa de crescimento reduzida ao final de 1997, o que explicava, em grande parte, o bom desempenho da conta corrente do balanço de pagamentos. | 15/04/1998
77. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Em junho, dados dessazonalizados para o comércio varejista na região metropolitana de São Paulo sinalizaram crescimento do faturamento pelo terceiro mês consecutivo (1, 43%), destacando-se os desempenhos dos bens de consumo duráveis e não duráveis. | 29/07/1998
78. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Com o objetivo de minimizar os efeitos decorrentes do " do milênio", o Banco Central planeja implantar os seguintes procedimentos no mês de dezembro: (1) contratar operações compromissadas com prazo superior a um dia útil e data de retorno diferente de 31 de dezembro e 3 de janeiro, de modo que as operações contratadas nessas datas sejam residuais; e (2) adquirir, por meio de operações definitivas, os títulos federais em poder do mercado com vencimento no período compreendido entre 29 de dezembro e 7 de janeiro, ou facultar a sua substituição. | 10/11/1999
79. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: O cenário básico considerado contempla as seguintes hipóteses: trajetórias da taxa de e das cotações internacionais do petróleo implícitas nos respectivos contratos futuros, sendo que a última trajetória elevou-se desde o final de abril, correspondendo a um aumento do preço médio dos contratos futuros para o segundo semestre de mais de US$ 3 por barril; neutralidade do setor agrícola quanto a pressões sobre preços ao longo do ano, mas mantendo o padrão sazonal típico; política fiscal cumprindo a meta de superávit primário acumulado do setor público consolidado de 3, 25% do PIB em 2000, contribuindo positivamente para a estabilidade de preços; manutenção, no curto-prazo, da volatilidade dos mercados internacionais nos níveis atuais; e perspectiva de crescimento da economia mundial. | 24/05/2000
80. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: projeta-se uma inclinação para a curva de juros doméstica, medida como a diferença entre as taxas DI a termo de 180 dias e Selic de um dia, com média de 450 pontos-base no quarto trimestre de 2001, que declina linearmente para uma média de 300 pontos-base no último trimestre de 2002;. | 17/10/2001
81. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Dos dois parágrafos acima conclui-se que, dadas as informações disponíveis, a política monetária deve mirar numa inflação entre 4, 0 e 4, 5%, dentro do intervalo da meta de 2002. | 20/02/2002
82. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: As expectativas de inflação coletadas pelo Grupo de Comunicação Institucional (GCI) do Banco Central registraram pequeno aumento em 2002, para 4, 99%, e estabilidade em 4, 00% para 2003. | 20/03/2002
83. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: A variação dos preços ao consumidor registrou a alta, após recuo em dezembro, enquanto no atacado a elevação dos preços mostrou nova desaceleração, particularmente nos preços agrícolas. | 19/02/2003
84. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Em períodos de transição, como o atual, cabe à autoridade monetária estabelecer uma trajetória para a taxa de juros básica que permita a convergência gradativa da estrutura de taxas de juros reais para aquela que vigorará a médio prazo, de forma a garantir que a inflação se aproxime das metas com a menor volatilidade possível no produto. | 20/08/2003
85. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Por esse motivo, o Copom seguirá acompanhando atentamente o processo de recuperação da atividade econômica, para que ele continue a ocorrer de forma balanceada, sem a geração de pressões inflacionárias. | 22/10/2003
86. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: Boa parte dos efeitos desse corte significativo de juros ainda não se refletiu no nível de atividade, assim como os efeitos da recente retomada da atividade sobre a inflação também não tiveram tempo de se materializar. | 17/12/2003
87. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Apesar de a inflação do primeiro trimestre ter sido superior à inflação esperada, as expectativas de inflação do mercado permaneceram relativamente estáveis. | 14/04/2004
88. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: A aceleração na variação mensal do IPCA refletiu sobretudo o impacto dos aumentos de itens específicos do grupo monitorados, enquanto a evolução de preços de segmentos importantes na composição do IPCA, como os da alimentação, mostrou arrefecimento. | 18/08/2004
89. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: A desaceleração do IPCA deveu-se, também, à interrupção, em janeiro, da seqüência de taxas mensais ascendentes registrada até então pelos bens comercializáveis, contrapondo-se à pressão dos não-comercializáveis, que prosseguiram, pelo quarto mês consecutivo, em trajetória de aceleração. | 16/02/2005
90. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Entre os dias 19 de janeiro e 16 de fevereiro, as taxas de juros de um mês, de seis meses e de 1 ano aumentaram 0, 58  p, 0, 55   e 0, 43  p, enquanto as taxas de 2 e de 3 anos recuaram 0, 04   e 0, 40  p, respectivamente. | 16/02/2005
91. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Em função da forte expansão observada no investimento em 2004, é de se esperar que haja uma redução no seu ritmo de crescimento à medida que a comparação passe a ser feita em relação a bases mais elevadas. | 20/04/2005
92. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: a projeção para o de seis meses sobre a taxa Selic, seguindo especificação de um modelo VAR que utiliza Selic e em níveis a partir dos valores vigentes nos dias que antecederam a reunião do Copom, parte de uma média de-50   no terceiro trimestre de 2005 e alcança 38   no último trimestre de 2006. | 20/07/2005
93. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: As importações de bens de capital também registraram crescimento em setembro, tendo o índice de quantum calculado pela Fundação Centro de Estudos do Comércio Exterior (Funcex) registrado acréscimo de 2, 6% em relação a agosto, após ajuste sazonal, e de 29, 6% no acumulado do ano. | 23/11/2005
94. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Pela Pesquisa Mensal de Emprego (PME), realizada pelo IBGE nas seis principais regiões metropolitanas, a taxa de desemprego aberto recuou de 10, 7% em julho para 10, 6% em agosto, situando-se 1, 2   acima da observada em agosto de 2005. | 18/10/2006
95. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: Indicadores da CNI, dessazonalizados pelo Banco Central, apontaram expansão da atividade industrial em fevereiro, com crescimentos de 1% e 0, 6% do faturamento real e das horas trabalhadas na produção, respectivamente. | 16/04/2008
96. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Considerando dados dessazonalizados pelo Banco Central, a taxa de desemprego deslocou-se de 7, 4% em agosto para 7, 6% em setembro, mostrando nos últimos meses relativa estabilidade em patamares historicamente reduzidos. | 29/10/2008
97. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Nas economias emergentes, em que os efeitos secundários da elevação dos preços de matérias-primas sobre os preços ao consumidor e as pressões da demanda aquecida sobre a capacidade de expansão da oferta vinham sendo mais intensos, as pressões inflacionárias também têm declinado, embora mostrem, em diversos casos, maior persistência. | 11/03/2009
98. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [1, -1] | Phrase: Assim sendo, a estratégia adotada pelo Copom visa assegurar que a inflação retorne à meta central de 4, 5%, estabelecida pelo CMN, em 2009, e mantê-la em patamar consistente com a trajetória de metas em 2010. | 29/04/2009
99. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Os efeitos desses estímulos serão parte importante do contexto no qual decisões futuras de política monetária, que devem assegurar a manutenção da convergência da inflação para a trajetória de metas em 2010 e 2011, serão tomadas. | 17/03/2010
100. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 2 | Grades: [-1, 1] | Phrase: Em suma, persiste a incerteza quanto à sustentabilidade da expansão do consumo nas economias maduras, principalmente na Europa, em cenário de retirada dos estímulos de política econômica e perspectivas modestas para a expansão do crédito, mas a recuperação evidencia certa consolidação. | 28/04/2010
--------
Top 100 phrases with lowest discordance (variance):
1. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 18 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O Comitê entende que o aumento recente da incerteza associada à evolução do processo de reformas e ajustes necessários na economia brasileira dificulta a queda mais célere das estimativas da taxa de juros estrutural e as torna mais incertas. | 31/05/2017
2. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 18 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O Comitê reforça que irá perseverar até que se consolide não apenas o processo de desinflação como também a ancoragem das expectativas em torno de suas metas, que têm mostrado deterioração em prazos mais longos desde a última reunião. | 01/02/2023
3. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A permanência de elevada variação do IPA-OG em dezembro, ainda que em desaceleração, deveu-se exclusivamente à continuidade da pressão dos preços agrícolas, sobretudo dos itens lavouras para exportação (9, 37%), especialmente café, e legumes e frutas (5, 75%). | 28/01/1998
4. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A maior variação nos produtos não-comercializáveis decorreu principalmente da manutenção da alta dos preços dos produtos e das despesas com habitação, especialmente condomínio. | 28/01/1998
5. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A valorização da taxa de câmbio efetiva em dezembro resultou da evolução desfavorável das três variáveis envolvidas: aceleração do INPC, variação negativa da taxa efetiva nominal ponderada e resultado negativo do CPI implícito. | 28/01/1998
6. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: As desvalorizações cambiais acabariam não tendo o impacto esperado sobre a oferta global de bens, já que a suposta vantagem comparativa dos países asiáticos seria anulada pelo aumento da inflação e redução do acesso das empresas asiáticas às linhas de financiamento internacionais. | 28/01/1998
7. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Nestas condições, observaríamos provavelmente um redirecionamento das atenções do mercado para os fundamentos da economia dos EUA, reiniciando-se as discussões sobre aumento preventivo de taxas de juros pelo Fed. | 28/01/1998
8. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Uma preocupação apontada residiu na avaliação que investidores e supervisores estrangeiros fariam dos efeitos dos juros altos sobre a qualidade dos ativos do sistema financeiro, alertando-se para a possibilidade de redução dos financiamentos externos a bancos brasileiros em função disto. | 28/01/1998
9. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A variação negativa do IPC-FIPE em março foi determinada, sobretudo, pela maior intensidade da queda dos preços do vestuário (liquidações por mudança de estação), do decréscimo nos preços das despesas com habitação (aluguéis, artigos de limpeza e mobiliário) e pelo esgotamento dos efeitos dos reajustes nas tarifas dos transportes urbanos. | 15/04/1998
10. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Tal tendência de alta levou algumas instituições a anteciparem o uso do redesconto, prevendo que a Taxa Referencial do SELIC viesse a superar a TBC, como de fato aconteceu no dia 7 de abril (28, 21%   ). | 15/04/1998
11. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: As taxas anuais mantiveram trajetória declinante, dado o menor ritmo inflacionário mensal em relação ao mesmo período de 1997, com a perspectiva de fechamento para o ano situando-se próxima de 3% para os índices de preços ao consumidor e de 4% para os índices gerais. | 20/05/1998
12. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A autoridade monetária daquele país promoveu duas rodadas sucessivas de aumento dos juros interbancários, com o objetivo de estancar especulações quanto à possível desvalorização da moeda local, o que provocou queda nos preços das ações negociadas na bolsa de valores de Moscou. | 20/05/1998
13. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Os efeitos sobre o Brasil se fizeram sentir por meio de depreciação no valor dos títulos da dívida externa, alta nas taxas de juros projetadas no mercado de DI, pressão sobre a taxa de câmbio e baixa recorde na variação do índice BOVESPA no ano. | 20/05/1998
14. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Embora os últimos acontecimentos envolvendo a Rússia possam sinalizar a continuidade do elevado grau de volatilidade experimentado pelos preços de negociação dos ativos no passado recente, cristaliza-se a visão de que existe espaço para pequena queda na taxa de juros. | 20/05/1998
15. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Com o resultado mensal observado, a variação em doze meses aumentou, passando de 4, 12%, em abril, para 4, 75%, em maio, tendência inversa da observada na maioria dos demais índices. | 24/06/1998
16. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: No Índice Geral de Preços-Disponibilidade Interna (IGP-DI), a taxa, que havia registrado variação negativa em abril, passou a positiva, sendo determinada pela inversão dos preços por atacado e dos custos da construção civil, que refletiram pressão do salário mínimo e dos dissídios e, ainda, a maior alta dos preços dos materiais de construção. | 24/06/1998
17. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A continuidade da alta dos preços do vestuário e dos alimentos semi-elaborados (feijão e arroz), juntamente com o aumento dos preços do material escolar, contribuiu para a elevação dos preços dos produtos comercializáveis, em maio, com a taxa nos últimos doze meses apresentando variação de 0, 61%. | 24/06/1998
18. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Os dados sobre a economia alemã divulgados no período foram bastante positivos, com a inflação em queda (CPI em 1, 2%   em maio), o PIB do primeiro trimestre de 1998 crescendo 1%, o que corresponde a 3, 8%, e a taxa de desemprego em declínio-apesar de ainda alta-alcançando 11, 2%, correspondendo à taxa mais baixa em um ano. | 24/06/1998
19. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Exercícios elaborados sobre cupom cambial mostram que, a partir de 0, 90% de variação implícita, o nível do cupom fica bem abaixo do C do IDU, cabendo destacar que o momento é de reduzida capacidade de captação e de aumento de saídas de portfólio, em decorrência da instabilidade do cenário externo e interno. | 24/06/1998
20. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A inflação medida pelos índices de preços ao consumidor apresentou expressiva queda da taxa de variação do Índice de Preços ao Consumidor da Fundação Instituto de Pesquisas Econômicas (IPC-Fipe) em junho reduzindo a inflação acumulada nos últimos doze meses de 3, 12% para 1, 87%. | 29/07/1998
21. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Tal resultado decorreu, sobretudo, da menor alta de preços dos alimentos semi-elaborados (feijão e arroz), da redução dos preços dos produtos industrializados (café moído), dos produtos e da desaceleração dos preços do vestuário. | 29/07/1998
22. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A perspectiva para os meses seguintes é de desaceleração de todos os índices de preços no mês de julho, em vista da expectativa de arrefecimento das elevações dos preços de alimentação e de vestuário. | 29/07/1998
23. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Os indicadores de inadimplência, considerando dados do Serviço de Proteção ao Crédito (SPC) para a primeira quinzena de julho, observa-se contração expressiva, notadamente na taxa líquida, o que sinaliza resultado positivo das negociações visando à recuperação do crédito. | 29/07/1998
24. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O impacto do discurso foi significativo por ter sido mais enfático do que os participantes do mercado esperavam, tendo em vista a fragilidade do cenário internacional, e por ter registrado a preocupação quanto ao ressurgimento de pressões inflacionárias e a disposição de elevar as taxas de juros nessas circunstâncias, mesmo diante da divulgação de indicadores da atividade econômica apontando para um desaquecimento (visto pelos analistas como resultante da crise asiática). | 29/07/1998
25. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: As expectativas do mercado alemão refletem otimismo, dada a evolução favorável de alguns indicadores: a inflação está sob controle (o índice de preços ao produtor manteve-se inalterado em maio, com elevação de apenas 0, 1% em termos anuais), a taxa de desemprego caiu para 11% em junho, seu nível mais baixo em 19 anos; e a previsão de crescimento do produto, neste ano, atinge cerca de 2, 5%. | 29/07/1998
26. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A redução do Imposto sobre Operações Financeiras (IOF), de 15%   para 6%   (mesmo nível de maio de 1997), reforça a tendência de queda das taxas de juros das operações ativas, que vem ocorrendo desde o início do ano, acompanhando o movimento da Taxa Básica do Banco Central (TBC). | 29/07/1998
27. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: As projeções para esta curva para dez/98, mar/99 e set/99, apresentam-se declinantes, sinalizando a expectativa de redução da taxa de juros pelo banco central norte-americano ( Tal redução seria favorecida pela evolução do cenário interno, uma vez que se observam a estabilidade da taxa de inflação, a expectativa de retração de ganhos acionários e de salários, em função das perspectivas de ajustes das empresas para obtenção de maior produtividade, e a menor necessidade de financiamento do tesouro norte-americano. | 02/09/1998
28. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Paralelamente, registra-se a redução da taxa de inflação para 0, 7% em agosto, recorde histórico dos últimos 11 anos, para a qual tem contribuído a redução dos preços de, que estão retirando a pressão altista sobre os preços das economias européias. | 02/09/1998
29. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A sustentação da trajetória de queda paulatina nas taxas ratificou a atual condução da política monetária, atuando favoravelmente sobre as expectativas dos agentes econômicos. | 02/09/1998
